state,year ,cases,population
Andaman & Nicobar Island,2012,24,17952
Arunanchal Pradesh,2012,346,111028
Assam,2012,1058,43504
Bihar,2012,872,95077
Chandigarh,2012,351,54180
Chhattisgarh,2012,45,37893
Dadara & Nagar Havelli,2012,156,77856
Daman & Diu,2012,96,25300
Goa,2012,39,222616
Gujarat,2012,3067,20961
Haryana,2012,768,29910
Himachal Pradesh,2012,73,153501
Jammu & Kashmir,2012,17,91596
Jharkhand,2012,42,31214
Karnataka,2012,3924,106723
Kerala,2012,4172,32900
Madhya Pradesh,2012,239,48650
Maharashtra,2012,2931,1744859
Manipur,2012,6,47749
Meghalaya,2012,27,36756
Mizoram,2012,6,41964
Nagaland,2012,0,74091
NCT of Delhi,2012,2093,70676
Puducherry,2012,3506,24888
Punjab,2012,770,813246
Rajasthan,2012,1295,31976
Sikkim,2012,2,24102
Tamil Nadu,2012,12826,62514
Telangana,2012,0,122930
Tripura,2012,9,35664
Uttar Pradesh,2012,342,933253
Uttarakhand,2012,110,60162
West Bengal,2012,6456,30794
Odisha,2012,2255,16778
Andhra Pradesh,2012,2299,26557
Andaman & Nicobar Island,2013,67,28007
Arunanchal Pradesh,2013,0,19712
Assam,2013,4526,21974
Bihar,2013,1246,48486
Chandigarh,2013,107,27442
Chhattisgarh,2013,83,95132
Dadara & Nagar Havelli,2013,190,41702
Daman & Diu,2013,61,196022
Goa,2013,198,54932
Gujarat,2013,6272,105189
Haryana,2013,1784,34195
Himachal Pradesh,2013,89,254095
Jammu & Kashmir,2013,1837,480010
Jharkhand,2013,161,27669
Karnataka,2013,6408,302985
Kerala,2013,7938,62708
Madhya Pradesh,2013,1255,80291
Maharashtra,2013,5610,19652
Manipur,2013,9,35530
Meghalaya,2013,43,82795
Mizoram,2013,7,15799
Nagaland,2013,0,616195
NCT of Delhi,2013,5574,11380
Puducherry,2013,2215,19616
Punjab,2013,4117,76690
Rajasthan,2013,4413,10547
Sikkim,2013,38,36414
Tamil Nadu,2013,6122,18765
Telangana,2013,0,26807
Tripura,2013,8,38371
Uttar Pradesh,2013,1414,19284
Uttarakhand,2013,54,122135
West Bengal,2013,5920,33389
Odisha,2013,7132,30472
Andhra Pradesh,2013,910,131020
Andaman & Nicobar Island,2014,139,61689
Arunanchal Pradesh,2014,27,61061
Assam,2014,85,76218
Bihar,2014,297,60815
Chandigarh,2014,13,37966
Chhattisgarh,2014,440,369341
