st_date,year,state,city,cases,lat,lon
03-01-2014 00:00,2014,Maharashtra,Beed,11,18.98608,75.131643
24-12-2012 00:00,2013,Maharashtra,Ahmednagar,12,19.0668225,75.2876434
03-02-2015 00:00,2015,Tamil Nadu,Sivaganga,30,9.8753227,78.3948876
01-02-2010 00:00,2010,Puducherry,Puducherry,10,11.9230996,79.761016
09-02-2015 00:00,2015,Tamil Nadu,Sivaganga,20,9.8513362,78.4856386
21-02-2012 00:00,2012,Tamil Nadu,Ramanathapuram,40,9.3639356,78.8394819
13-01-2010 00:00,2010,Maharashtra,Beed,90,19.2963455,75.5980396
16-02-2015 00:00,2015,Tamil Nadu,Sivaganga,20,10.1414432,78.4190573
03-01-2011 00:00,2011,Shimoga,Shimoga,28,13.9299299,75.568101
05-01-2011 00:00,2011,Tamil Nadu,villupuram,16,12.0577635,79.5519969
03-01-2011 00:00,2011,Tamil Nadu,Erode,15,11.4762345,77.1303521
11-01-2012 00:00,2012,Tamil Nadu,Dindigul,69,10.4871156,78.1594849
10-01-2012 00:00,2012,Tamil Nadu,Ramanathapuram,30,9.2837071,78.8262772
10-01-2012 00:00,2012,Tamil Nadu,Salem,9,11.3910602,77.7719452
20-12-2011 00:00,2012,Maharashtra,Pune,17,18.4527749,73.8239226
10-01-2013 00:00,2013,Tamil Nadu,Ramanathapuram,15,9.6619416,78.8602045
03-01-2015 00:00,2015,Tamil Nadu,Karur,16,10.744713,78.3498603
01-12-2014 00:00,2015,Arunchal Pradesh,East Siang,27,28.0631741,95.3239197
13-01-2013 00:00,2013,Tamil Nadu,Karur,56,10.8498016,77.2755082
14-01-2014 00:00,2014,madhya pradesh,Burhanpur,40,21.3145021,76.2180095
09-01-2015 00:00,2015,Tamil Nadu,Tiruchirapalli,26,10.7904833,78.7046725
23-01-2012 00:00,2012,Andhra Pradesh,West Godavari,3,16.5465977,81.5993951
20-12-2011 00:00,2012,Maharashtra,Pune,17,18.4527749,73.8239226
21-01-2015 00:00,2015,karnataka,Thirunelveli Sankarankoli,16,9.2585273,77.4779564
29-01-2013 00:00,2015,Tamil Nadu,Namakkal,47,11.1519884,78.0217468
24-01-2013 00:00,2015,Tamil Nadu,Ramanathapuram,15,9.2925947,78.5320191
28-01-2010 00:00,2010,Tamil Nadu,Virudhunagar,38,9.426053,78.2060272
21-12-2015 00:00,2015,Lakshadweep,Minicoy & Amini Island,25,11.114153,72.720379
20-02-2012 00:00,2012,Tamil Nadu,Ramanathapuram,10,9.2873964,79.2461014
03-02-2016 00:00,2016,Tamil Nadu,Virudhunager,19,9.6523642,78.0694722
02-03-2010 00:00,2010,karnataka,Belgaum,10,16.3079834,74.8686224
01-03-2011 00:00,2011,West Bengal,Birbhum,16,24.1490772,87.8474389
23-02-2011 00:00,2011,Maharashtra,Sindhudurg,10,16.0498975,73.4686605
02-03-2013 00:00,2013,Maharashtra,Kolhapur,28,16.7630133,74.5823342
05-03-2014 00:00,2014,karnataka,Raichur,32,15.7916883,76.6874701
03-03-2014 00:00,2014,Tamil Nadu,Ramanathapuram,9,8.7814035,78.0908651
24-11-2014 00:00,2015,Maharashtra,Chandrapur,6,19.9720415,79.3231838
18-02-2011 00:00,2011,Kerala,Trivandrum,25,8.5241391,76.9366376
11-03-2013 00:00,2013,Tamil Nadu,Ramanathpuram,31,9.2657929,78.6639048
17-02-2013 00:00,2013,Goa,South Goa,11,15.1573147,73.9462689
22-02-2013 00:00,2013,Kerala,Idukki,27,9.6084369,77.17268
03-03-2013 00:00,2013,Kerala,Kollam,20,8.8780187,76.6441591
03-03-2014 00:00,2014,karnataka,Raichur,30,15.7702099,76.7560495
04-03-2015 00:00,2015,karnataka,Ramanagara,36,12.6518078,77.2085794
10-03-2015 00:00,2015,Andhra Pradesh,Kadapa,42,16.2954659,80.4359949
14-03-2010 00:00,2010,Kerala,Ernakulum,9,9.9088781,76.6080554
20-03-2012 00:00,2012,karnataka,Raichur,19,15.9758085,77.4106671
24-03-2012 00:00,2012,Tamil Nadu,Paramnallur,22,11.2329557,78.8650742
17-03-2012 00:00,2012,Tamil Nadu,Cuddalore,32,11.7866822,79.6566949
19-03-2012 00:00,2012,Tamil Nadu,Pudukottai,64,10.4054298,79.0828644
06-03-2012 00:00,2012,Maharashtra,Sangli,71,17.0408248,74.512637
10-03-2013 00:00,2012,Maharashtra,Raigad,27,18.2073865,73.0501203
03-03-2014 00:00,2014,Lakshadweep,Kavaratti Island,6,10.56507,72.6417265
07-03-2015 00:00,2015,Tamil Nadu,Namakkal,5,11.2207427,78.0466021
